                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     13,                 1.0954,                 1.2668,                 1.3926,                0.68437,                 0.6116,                0.67582,                0.43386,                  1.193,                  1.655,                 1.5815,               0.001469,               0.001469,               0.001469
                     14,                 1.1371,                 1.2603,                 1.4193,                0.80719,                0.70835,                0.80349,                0.54746,                 1.0762,                 1.3025,                 1.4784,              0.0014525,              0.0014525,              0.0014525
                     15,                 1.0355,                 1.1892,                 1.3512,                0.66628,                0.61923,                0.68106,                0.42212,                 1.2695,                 1.6602,                 1.7088,               0.001436,               0.001436,               0.001436
                     16,                 1.0794,                 1.1741,                  1.382,                0.73117,                0.73614,                0.78505,                0.54026,                 1.1079,                 1.3359,                 1.4921,              0.0014195,              0.0014195,              0.0014195
                     17,                 1.0616,                 1.1492,                 1.3666,                 0.6942,                0.73204,                0.75797,                0.51165,                 1.0718,                 1.4084,                 1.4875,              0.0014029,              0.0014029,              0.0014029
                     18,                 1.0382,                 1.0984,                 1.3578,                 0.8391,                0.67995,                 0.8243,                0.57126,                0.99441,                 1.2488,                 1.4105,              0.0013864,              0.0013864,              0.0013864
                     19,                0.98888,                 1.0527,                 1.3191,                0.85746,                0.75371,                0.86575,                 0.6334,                0.96284,                 1.1289,                 1.3474,              0.0013699,              0.0013699,              0.0013699
                     20,                0.95729,                 1.0738,                 1.3024,                0.81496,                0.78555,                0.86486,                0.62976,                0.94411,                 1.0481,                 1.3338,              0.0013534,              0.0013534,              0.0013534
                     21,                0.98334,                 1.0608,                 1.3377,                0.83917,                0.79862,                   0.86,                0.62279,                0.97389,                 1.0641,                 1.3936,              0.0013369,              0.0013369,              0.0013369
                     22,                 0.9628,                0.99044,                 1.3145,                0.75566,                0.72842,                0.81899,                 0.5977,                0.97396,                 1.2124,                 1.4278,              0.0013204,              0.0013204,              0.0013204
                     23,                0.92255,                 1.0287,                 1.2772,                0.80527,                0.84625,                0.88135,                0.64412,                0.92838,                 0.9765,                 1.3751,              0.0013039,              0.0013039,              0.0013039
                     24,                0.94023,                0.98367,                 1.2953,                  0.816,                0.87421,                0.89562,                0.64875,                0.93063,                 1.0027,                 1.3834,              0.0012874,              0.0012874,              0.0012874
                     25,                0.92352,                0.96611,                 1.2942,                0.71919,                0.69687,                 0.7748,                0.57796,                0.87219,                 1.3826,                 1.3117,              0.0012709,              0.0012709,              0.0012709
                     26,                0.92406,                0.93204,                 1.2697,                0.85994,                0.81763,                0.88969,                  0.661,                0.92258,                0.89125,                 1.2897,              0.0012544,              0.0012544,              0.0012544
                     27,                0.89081,                0.90261,                 1.2374,                0.79844,                0.74689,                0.85216,                 0.6135,                0.93758,                 1.0387,                 1.3294,              0.0012379,              0.0012379,              0.0012379
                     28,                0.91286,                0.90759,                 1.2615,                0.76855,                0.85907,                 0.8893,                0.65955,                0.86845,                0.93698,                 1.3105,              0.0012214,              0.0012214,              0.0012214
                     29,                0.90706,                0.90889,                 1.2635,                0.81795,                0.86478,                0.88384,                0.66277,                0.93137,                 1.0201,                 1.3405,              0.0012049,              0.0012049,              0.0012049
                     30,                 0.9368,                0.96632,                 1.2794,                0.93949,                0.80695,                0.90958,                0.67801,                0.88948,                0.86787,                 1.3014,              0.0011884,              0.0011884,              0.0011884
                     31,                0.87067,                0.90004,                 1.2367,                0.80888,                0.79867,                0.84278,                0.64364,                0.85593,                 1.1817,                 1.2812,              0.0011719,              0.0011719,              0.0011719
                     32,                0.90436,                0.88309,                  1.265,                0.80852,                0.77224,                0.85473,                 0.6373,                0.91596,                0.94393,                 1.2995,              0.0011554,              0.0011554,              0.0011554
                     33,                0.86784,                0.87292,                 1.2325,                0.80138,                0.81865,                0.88828,                0.65801,                0.88207,                0.87889,                 1.3168,              0.0011389,              0.0011389,              0.0011389
                     34,                0.86406,                0.82499,                 1.2485,                0.88139,                0.83037,                0.89009,                0.66613,                0.90679,                0.90601,                 1.3382,              0.0011224,              0.0011224,              0.0011224
                     35,                0.86004,                0.86653,                 1.2288,                0.87313,                 0.8704,                0.90459,                0.67594,                0.90399,                0.85724,                 1.2826,              0.0011059,              0.0011059,              0.0011059
                     36,                0.84338,                0.83524,                 1.2418,                0.87311,                0.88067,                0.91978,                0.70004,                0.81969,                 0.8405,                 1.2686,              0.0010894,              0.0010894,              0.0010894
                     37,                0.82928,                0.80501,                 1.1981,                0.91136,                0.80552,                0.91061,                0.68942,                 0.8649,                0.85575,                 1.2976,              0.0010729,              0.0010729,              0.0010729
                     38,                0.84869,                0.83822,                 1.2074,                0.85287,                0.73715,                 0.8682,                0.64045,                0.87598,                  1.023,                 1.3126,              0.0010564,              0.0010564,              0.0010564
                     39,                 0.7963,                0.77042,                 1.1942,                0.85748,                 0.8347,                0.91162,                 0.6804,                0.93056,                0.90654,                 1.4116,              0.0010399,              0.0010399,              0.0010399
                     40,                0.83023,                0.75168,                 1.2187,                0.91497,                 0.8834,                0.92649,                 0.6995,                0.81022,                0.79677,                 1.2542,              0.0010234,              0.0010234,              0.0010234
                     41,                0.79913,                0.76407,                 1.1888,                0.89169,                0.90907,                 0.9348,                0.72261,                0.84382,                0.73718,                 1.2742,              0.0010069,              0.0010069,              0.0010069
                     42,                0.79085,                0.77544,                 1.1839,                0.89563,                0.82868,                0.93653,                0.73036,                 0.8296,                0.81373,                 1.2735,             0.00099036,             0.00099036,             0.00099036
                     43,                0.83635,                 0.8012,                 1.2261,                0.85644,                0.89703,                0.92148,                0.69582,                0.82798,                0.81607,                  1.248,             0.00097386,             0.00097386,             0.00097386
                     44,                0.81512,                0.78116,                 1.2029,                0.93717,                0.90372,                   0.94,                0.71392,                0.87151,                0.74741,                 1.2995,             0.00095736,             0.00095736,             0.00095736
                     45,                0.77749,                0.75562,                 1.1865,                 0.9283,                0.84639,                0.93532,                0.71098,                0.83583,                0.75437,                 1.2791,             0.00094085,             0.00094085,             0.00094085
                     46,                0.75357,                0.74511,                 1.1669,                0.90676,                0.81263,                0.93083,                0.71616,                0.81422,                0.83656,                 1.2748,             0.00092435,             0.00092435,             0.00092435
                     47,                0.75938,                0.76442,                 1.1622,                0.91509,                0.87071,                0.92856,                0.72155,                0.82969,                0.71566,                 1.3356,             0.00090785,             0.00090785,             0.00090785
                     48,                 0.7858,                0.73688,                 1.1918,                0.82904,                0.82233,                0.88678,                0.69962,                0.77242,                0.84738,                 1.2135,             0.00089134,             0.00089134,             0.00089134
                     49,                0.77505,                0.74308,                 1.1931,                0.91887,                0.89518,                0.94045,                0.74439,                0.76864,                0.73126,                 1.2271,             0.00087484,             0.00087484,             0.00087484
                     50,                0.75556,                0.73584,                  1.177,                0.85824,                0.89715,                0.93693,                0.73248,                0.81737,                0.76345,                 1.2634,             0.00085834,             0.00085834,             0.00085834
                     51,                 0.7495,                0.70069,                 1.1846,                0.83271,                0.83006,                0.84498,                0.64761,                0.87403,                0.99875,                 1.3535,             0.00084184,             0.00084184,             0.00084184
                     52,                0.75575,                 0.7239,                 1.1709,                0.88526,                0.90159,                0.92869,                0.74042,                0.73592,                0.67839,                 1.2092,             0.00082533,             0.00082533,             0.00082533
                     53,                0.69659,                0.66697,                 1.1337,                0.90002,                0.90364,                0.93499,                0.71635,                0.83251,                0.71998,                 1.3065,             0.00080883,             0.00080883,             0.00080883
                     54,                0.75104,                0.69457,                 1.1761,                0.91005,                0.90737,                0.95161,                0.75008,                0.72801,                0.64401,                 1.1906,             0.00079233,             0.00079233,             0.00079233
                     55,                0.72813,                0.70717,                 1.1578,                0.91902,                0.87003,                0.94399,                  0.727,                  0.777,                 0.7135,                 1.2634,             0.00077582,             0.00077582,             0.00077582
                     56,                0.73311,                0.65913,                 1.1571,                0.89533,                 0.8607,                0.92583,                0.73297,                0.74575,                0.69393,                 1.2036,             0.00075932,             0.00075932,             0.00075932
                     57,                0.73742,                0.67224,                 1.1566,                0.91907,                0.90134,                0.96313,                0.77327,                0.76094,                 0.6465,                  1.192,             0.00074282,             0.00074282,             0.00074282
                     58,                0.71466,                0.65365,                 1.1391,                0.89286,                0.90556,                 0.9468,                0.77413,                0.69961,                0.64459,                 1.1559,             0.00072631,             0.00072631,             0.00072631
                     59,                0.72936,                0.65565,                 1.1604,                0.89556,                0.91337,                0.95237,                0.78234,                0.69397,                 0.6893,                 1.1458,             0.00070981,             0.00070981,             0.00070981
                     60,                0.71478,                0.65949,                 1.1502,                0.88969,                0.92565,                0.96719,                0.77306,                0.70935,                  0.555,                 1.1914,             0.00069331,             0.00069331,             0.00069331
                     61,                0.67892,                0.63037,                 1.1276,                0.92035,                0.91983,                0.95787,                0.76942,                0.69728,                0.55738,                 1.1686,              0.0006768,              0.0006768,              0.0006768
                     62,                 0.6948,                0.61519,                 1.1366,                0.90225,                0.90846,                0.95844,                0.77958,                0.70521,                0.62455,                 1.1585,              0.0006603,              0.0006603,              0.0006603
                     63,                0.68791,                0.61323,                 1.1303,                0.90258,                0.91379,                0.94617,                0.78039,                 0.6961,                0.58219,                 1.1639,              0.0006438,              0.0006438,              0.0006438
                     64,                0.67275,                0.60799,                 1.1146,                0.92252,                0.90967,                0.95485,                0.77814,                0.71828,                0.59509,                  1.192,             0.00062729,             0.00062729,             0.00062729
                     65,                0.67152,                0.64366,                 1.1183,                0.92788,                0.92264,                0.95825,                0.74593,                0.76877,                0.61232,                 1.2082,             0.00061079,             0.00061079,             0.00061079
                     66,                0.69623,                0.61436,                 1.1432,                0.91883,                0.92018,                0.95411,                0.75915,                0.75418,                0.56063,                 1.2021,             0.00059429,             0.00059429,             0.00059429
                     67,                0.66029,                0.59331,                 1.1066,                0.91091,                0.92734,                0.95517,                0.77795,                0.68604,                0.63645,                 1.1445,             0.00057778,             0.00057778,             0.00057778
                     68,                0.66869,                0.59458,                 1.1302,                0.94305,                0.90847,                0.94359,                0.76374,                0.70869,                0.59555,                 1.1845,             0.00056128,             0.00056128,             0.00056128
                     69,                0.68211,                0.60769,                 1.1368,                0.91636,                0.90606,                  0.964,                0.77897,                0.70973,                0.52985,                 1.1732,             0.00054478,             0.00054478,             0.00054478
                     70,                0.64538,                0.61916,                 1.1099,                0.94154,                0.92842,                0.96034,                0.78977,                0.68038,                 0.6071,                 1.1816,             0.00052827,             0.00052827,             0.00052827
                     71,                 0.6417,                0.60443,                 1.0969,                0.90761,                0.91234,                0.95273,                0.79521,                 0.6806,                0.63958,                 1.1598,             0.00051177,             0.00051177,             0.00051177
                     72,                0.66372,                0.58384,                 1.1183,                0.92606,                 0.9054,                0.95945,                0.78973,                0.65183,                0.53372,                 1.1164,             0.00049527,             0.00049527,             0.00049527
                     73,                0.65894,                 0.5871,                 1.1158,                0.94068,                0.91534,                0.96695,                0.80698,                0.67775,                0.55423,                 1.1739,             0.00047876,             0.00047876,             0.00047876
                     74,                0.64106,                0.57404,                 1.1018,                0.94622,                0.94475,                0.96394,                0.80497,                0.71694,                0.52152,                 1.2209,             0.00046226,             0.00046226,             0.00046226
                     75,                0.61152,                0.54485,                 1.0843,                0.93901,                0.91451,                0.94606,                0.78116,                0.69672,                0.67063,                 1.1637,             0.00044576,             0.00044576,             0.00044576
                     76,                0.61828,                0.54945,                 1.0866,                0.94153,                0.91274,                0.95311,                0.79379,                0.66152,                 0.5671,                 1.1496,             0.00042925,             0.00042925,             0.00042925
                     77,                  0.616,                0.55727,                 1.1041,                0.89969,                0.94571,                0.95833,                0.80538,                0.64201,                0.55065,                 1.1421,             0.00041275,             0.00041275,             0.00041275
                     78,                0.59281,                0.54213,                 1.0854,                0.91401,                0.94862,                 0.9642,                0.80686,                0.68337,                0.53387,                 1.1851,             0.00039625,             0.00039625,             0.00039625
                     79,                0.61006,                0.55507,                 1.0875,                0.94184,                0.91772,                0.95174,                0.80075,                0.67319,                0.55446,                  1.181,             0.00037974,             0.00037974,             0.00037974
                     80,                0.58816,                0.54376,                 1.0723,                 0.9541,                0.93223,                0.96448,                0.80243,                0.64735,                0.53165,                 1.1029,             0.00036324,             0.00036324,             0.00036324
                     81,                0.58425,                0.51288,                 1.0751,                0.92768,                0.94749,                0.96638,                0.80302,                0.67664,                0.50192,                 1.1205,             0.00034674,             0.00034674,             0.00034674
                     82,                0.62775,                0.54756,                 1.1104,                0.92631,                0.93525,                 0.9634,                 0.8034,                0.66109,                0.48835,                 1.1287,             0.00033023,             0.00033023,             0.00033023
                     83,                0.60271,                0.53348,                 1.0878,                0.93125,                 0.9433,                 0.9664,                0.80093,                 0.6472,                0.50694,                 1.1243,             0.00031373,             0.00031373,             0.00031373
                     84,                0.59789,                0.53699,                 1.0977,                0.95308,                0.93177,                0.97116,                0.80383,                0.68044,                0.47497,                 1.2016,             0.00029723,             0.00029723,             0.00029723
                     85,                0.58377,                0.52358,                 1.0682,                0.96736,                 0.9173,                0.96675,                0.81009,                0.65094,                0.55485,                 1.1464,             0.00028072,             0.00028072,             0.00028072
                     86,                0.58626,                0.53384,                 1.0682,                0.95507,                 0.9303,                0.96809,                0.81301,                0.64565,                0.54513,                 1.1292,             0.00026422,             0.00026422,             0.00026422
                     87,                0.56962,                0.51447,                 1.0665,                 0.9399,                 0.9433,                0.97283,                0.82462,                0.62448,                 0.4968,                  1.116,             0.00024772,             0.00024772,             0.00024772
                     88,                0.58722,                0.51014,                 1.0794,                0.94749,                0.92634,                0.96458,                0.82788,                 0.6509,                0.49568,                 1.1623,             0.00023121,             0.00023121,             0.00023121
                     89,                0.60085,                0.52254,                 1.0902,                0.96658,                0.93506,                0.96876,                0.82699,                0.66127,                0.47182,                 1.1763,             0.00021471,             0.00021471,             0.00021471
                     90,                0.36988,                0.32446,                0.91584,                0.93793,                0.95588,                0.97065,                 0.8252,                0.66629,                0.44605,                 1.1853,             0.00019821,             0.00019821,             0.00019821
                     91,                0.38114,                0.31176,                0.92906,                0.96223,                0.91379,                0.97014,                0.82684,                0.63284,                0.52833,                  1.124,              0.0001817,              0.0001817,              0.0001817
                     92,                0.36354,                0.29766,                0.91353,                0.93426,                0.95518,                0.97099,                0.81844,                0.61963,                0.52222,                 1.1147,              0.0001652,              0.0001652,              0.0001652
                     93,                0.34866,                0.30184,                0.91149,                0.93093,                0.96337,                0.97055,                0.82806,                0.64562,                0.47808,                 1.1761,              0.0001487,              0.0001487,              0.0001487
                     94,                0.34169,                0.28668,                0.88736,                0.95003,                0.93921,                 0.9651,                 0.8213,                0.63403,                0.47565,                  1.173,             0.00013219,             0.00013219,             0.00013219
                     95,                0.33536,                0.28869,                0.89328,                0.94834,                0.93581,                0.96649,                0.81922,                0.62573,                0.50671,                 1.1557,             0.00011569,             0.00011569,             0.00011569
                     96,                  0.339,                0.28698,                0.89368,                0.96464,                 0.9179,                0.96646,                0.82285,                0.60255,                0.51269,                 1.1143,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                0.33418,                0.28173,                0.89288,                 0.9724,                0.93441,                0.96658,                0.82736,                 0.6074,                0.51167,                 1.1264,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.33518,                 0.2754,                0.89491,                0.95977,                0.94303,                0.96941,                0.82678,                0.62197,                0.51262,                 1.1573,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.32836,                0.27818,                0.89983,                0.95656,                0.95333,                0.97061,                0.83251,                0.61331,                0.51526,                 1.1447,             4.9677e-05,             4.9677e-05,             4.9677e-05
