                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.96347,                 2.5462,                 1.3685,                0.73053,                0.21547,                0.47272,                0.27734,                 1.0815,                 3.4984,                   1.57,             0.00054304,             0.00054304,             0.00054304
                      1,                 1.1202,                  2.056,                 1.4301,                0.37014,                0.41571,                0.30593,                0.13681,                 1.7752,                 3.7751,                 2.4282,              0.0010878,              0.0010878,              0.0010878
                      2,                 1.2596,                 2.0606,                 1.5273,                0.37507,                0.36307,                0.30372,                0.15696,                 1.5963,                 3.5557,                 1.9773,              0.0016216,              0.0016216,              0.0016216
                      3,                 1.2846,                 1.9503,                 1.5415,                 0.3849,                0.38868,                0.29682,                0.13333,                 1.8432,                 4.0803,                 2.6026,              0.0016175,              0.0016175,              0.0016175
                      4,                 1.2891,                 1.8041,                 1.5458,                0.46265,                0.32156,                0.25601,                0.13805,                 1.5624,                  7.053,                  2.186,              0.0016175,              0.0016175,              0.0016175
                      5,                 1.2876,                 1.7681,                 1.5534,                0.51249,                0.49923,                0.49804,                0.28791,                 1.3506,                 2.2131,                 1.7364,               0.001601,               0.001601,               0.001601
                      6,                 1.2539,                 1.6557,                 1.4862,                0.41522,                0.48183,                0.43583,                0.25178,                 1.4692,                 2.4825,                 1.9465,              0.0015845,              0.0015845,              0.0015845
                      7,                 1.2292,                 1.5357,                 1.4913,                0.66648,                0.60167,                0.68023,                 0.4345,                 1.2429,                 1.8201,                  1.662,               0.001568,               0.001568,               0.001568
                      8,                 1.1991,                 1.4941,                 1.4584,                0.69903,                 0.5543,                0.61933,                 0.3908,                 1.3905,                 1.7267,                 1.7566,              0.0015515,              0.0015515,              0.0015515
                      9,                 1.1259,                 1.2893,                 1.3825,                0.66736,                0.56594,                0.64097,                0.37918,                 1.3643,                 1.7902,                 1.7073,               0.001535,               0.001535,               0.001535
                     10,                 1.1691,                  1.296,                 1.4604,                0.64921,                0.69109,                0.70301,                0.48031,                 1.1774,                  1.658,                 1.5622,              0.0015185,              0.0015185,              0.0015185
                     11,                 1.1046,                 1.2899,                 1.4143,                0.83261,                0.53257,                0.71428,                0.45718,                 1.1949,                 1.5484,                 1.5853,               0.001502,               0.001502,               0.001502
                     12,                 1.0825,                 1.2129,                 1.3842,                0.82033,                0.71386,                0.82232,                0.55514,                 1.0657,                 1.3249,                  1.465,              0.0014855,              0.0014855,              0.0014855
