                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.91375,                  2.633,                 1.2994,                0.91612,                0.19011,                0.60233,                0.42559,                0.82709,                 3.3101,                  1.407,             0.00035007,             0.00035007,             0.00035007
                      1,                 1.0087,                 2.0012,                 1.3318,                0.89602,                 0.2592,                0.65394,                0.41235,                0.99009,                 3.3124,                  1.516,             0.00048026,             0.00048026,             0.00048026
                      2,                0.96596,                 1.7901,                  1.303,                0.80276,                0.64898,                0.82036,                0.61637,                0.81434,                 2.7365,                 1.3243,             0.00036841,             0.00036841,             0.00036841
